category,爱情,二次曝光 /2次曝光 / Double xposure,2012-09-29(中国大陆) / 范冰冰 / 冯绍峰 / 霍思燕 / 陈冲 / 孔维 / 姚安濂 / 梁静 / 方励 / 中国大陆 / www.2xposure.com / 李玉 / 106分钟 / 剧情 / 爱情 / 悬疑 / 李玉 Yu Li / 方励 Li Fang / 汉语普通话,6.0
category,爱情,画皮2 /转生术(台) / Painted Skin: The Resurrection,2012-06-28(中国大陆) / 周迅 / 赵薇 / 陈坤 / 冯绍峰 / 杨幂 / 费翔 / 陈廷嘉 / 鲁诺 / 中国大陆 / 香港 / 乌尔善 / 135分钟 / 画皮2 / 动作 / 爱情 / 奇幻 / 惊悚 / 冉平 Ping Ran / 冉甲男 Jia-nan Ran / 汉语普通话,5.7
category,爱情,这个杀手不太冷 /杀手莱昂 / 终极追杀令,1994-09-14 / 让·雷诺 / 娜塔丽·波曼 / 加里·奥德曼 / 丹尼·爱罗 / 麦温·勒·贝斯柯 / 法国 / 吕克·贝松 / 110 分钟 / France: 136 分钟(uncut version) / 133 分钟(International version) / Turkey: 100 分钟(TV version) / 这个杀手不太冷 / 犯罪 / 剧情 / 惊悚...,9.4
category,爱情,爱 /LOVE / Love,2012-02-13(中国大陆) / 2012-02-10(台湾) / 赵薇 / 舒淇 / 阮经天 / 赵又廷 / 钮承泽 / 陈意涵 / 郭采洁 / 彭于晏 / 凤小岳 / 台湾 / 中国大陆 / 2012allinlove.com / 钮承泽 / 128分钟(台湾) / 120分钟(中国大陆) / 爱 / 剧情 / 爱情 / 曾莉婷 Li-ting Tseng /...,7.0
category,爱情,剪刀手爱德华 /幻海奇缘 / 剪刀手爱德华,1990-12-06 / 约翰尼·德普 / 薇诺娜·瑞德 / 安东尼·迈克尔·豪尔 / 黛安·韦斯特 / 凯西·贝克 / 美国 / 蒂姆·波顿 / 105 分钟 / 剪刀手爱德华 / 剧情 / 奇幻 / 爱情 / Caroline Thompson / Tim Burton / 英语,8.7
category,爱情,春娇与志明 /志明与春娇2 / Love in The Buff,2012-03-29(香港) / 2012-03-30(中国大陆) / 杨千嬅 / 余文乐 / 杨幂 / 徐峥 / 谷德昭 / 郑伊健 / 陈逸宁 / 司徒慧焯 / 黄晓明 / 詹瑞文 / 田蕊妮 / 王馨平 / 郝蕾 / 谷祖琳 / 王太利 / 邵音音 / 曾国祥 / 尹志文 / 彭浩翔 / 魏雨琦 / 香港 / 中国大陆...,7.4
category,爱情,和莎莫的500天 /心跳(500)天(港) / 恋夏(500日)(台),2009-07-17 / 约瑟夫·高登-莱维特 / 佐伊·丹斯切尔 / 克拉克·格雷格 / 马修·格雷·古柏勒 / 吉奥弗瑞·阿伦德 / 科洛·莫瑞兹 / 美国 / www.foxsearchlight.com/500daysofsummer / 马克·韦布 / 95分钟 / 和莎莫的500天 / 喜剧 / 剧情 / 爱情 / Scott Neustadter...,8.0
category,爱情,暮光之城4：破晓(上) /暮色4：破晓(上) / 吸血新世纪4：破晓传奇上集(港),2011-11-18(美国) / 2012-10-23(中国大陆) / 罗伯特·帕丁森 / 克里斯汀·斯图尔特 / 泰勒·洛特纳 / 杰克逊·拉斯波恩 / 阿什丽·格林尼 / 安娜·肯德里克 / 妮基·瑞德 / 彼得·费辛利 / 美国 / www.breakingdawn-themovie.com / 比尔·康顿 / 117分钟 / 暮光之城4：破晓(上)...,5.7
category,爱情,两小无猜 /敢爱就来 / 宝贝游戏,2003-09-17(法国) / 吉约姆·卡内 / 玛丽昂·歌迪亚 / 法国 / 比利时 / 杨·塞谬尔 / 93 分钟 / 两小无猜 / 喜剧 / 剧情 / 爱情 / 杨·塞谬尔 Yann Samuell / 法语,8.4
category,爱情,罗马假日 /金枝玉叶 / 罗马假期,1953-08-27 / 奥黛丽·赫本 / 格利高里·派克 / 埃迪·艾伯特 / Hartley Power / Harcourt Williams / 美国 / 威廉·惠勒 / 118 分钟 / Portugal: 117 分钟(cut version) / 罗马假日 / 喜剧 / 剧情 / 爱情 / Ian McLellan Hunter / John Dighton / 英语 / 意大利语,8.9
